puuid,tier,tier_band,churned,total_games,games_trend,games_per_active_day,net_wins,days_since_last,win_rate,win_rate_trend,avg_kda,avg_duration_min,longest_loss_streak,unique_champions,top_champion_share,role_focus,primary_role,night_share,account_level,time_dead_share,team_death_leader_share,game_death_leader_share,avg_kill_participation,avg_team_damage_share,avg_multikills,avg_frustration_pings,first_blood_rate,surrender_loss_share,avg_loss_duration_min
40dofGXQmc7AaDnWYv84Yz9Tp_n3uMDzlm4c6YNCpkPktG0qMGst_857pQyOqx9XDCOR4hxjhhJs9g,IRON,low,0,53,-7,2.52,-15,1,0.3585,0.1348,2.571,29.89,6,9,0.34,0.83,UTILITY,0.0,73,0.107,0.2453,0.2075,0.3948,0.138,0.057,1.151,0.0189,0.2453,29.43
4334IyiPRzALtHoew10DNdrDt9e5H7cQF8EWBC_hGoV21nsGXNSDFvvX_gKy34uSst9sTeJu6W8CSw,SILVER,low,0,113,5,2.05,-1,6,0.4956,0.0979,2.974,30.98,6,19,0.212,0.611,UTILITY,0.142,325,0.1084,0.354,0.1858,0.4797,0.167,0.345,1.903,0.0442,0.0885,32.19
4CwlA3rn07y6yfhKFkEzrbTqeRC2E04E8dg83bKQq9FvD6e_tcCSaTdYfu3nt0vFprLQBbpdVWqRSA,BRONZE,low,1,72,-70,3.0,-6,51,0.4583,0.5493,4.637,30.56,7,8,0.833,0.972,TOP,0.208,77,0.0595,0.0139,0.0139,0.3442,0.2023,0.611,17.097,0.0833,0.2083,29.94
4M_y1M4yRBZ7mYVHrHv6UISZS2QQIjy3rNpOdbb7dFhPhIwSbIciVfHLiGlRQ1MAzykQiqWriAtYZA,EMERALD,mid,0,204,118,3.78,-4,1,0.4902,0.0612,3.797,29.61,7,25,0.333,0.936,BOTTOM,0.216,1072,0.0974,0.2402,0.1275,0.4546,0.2189,1.181,8.152,0.1029,0.1422,29.04
4Oip1_rpPsdY1dloPxBpxWGqfQnyAJ1SvbuK6u0as5sEjo1MSdrGzDwPdKOGO9Pv8_bWV6TZdXCZQQ,DIAMOND,high,0,198,0,3.19,-4,5,0.4899,0.0303,3.801,28.52,8,34,0.081,0.49,JUNGLE,0.136,856,0.0952,0.1919,0.0707,0.4937,0.2249,0.753,6.288,0.1111,0.1162,28.53
4RAf4BTG3ucSg3kVVrKlUtbmdYYGZK6-yec2ZDeqfJlfZbJicIhlBCtQln2XBgzf7Mo2BpKfjLgMdQ,MASTER,high,0,152,-118,5.63,20,35,0.5658,-0.1734,3.116,27.92,5,29,0.23,0.5,MIDDLE,0.059,123,0.0936,0.1974,0.0658,0.4153,0.2448,0.592,17.697,0.0987,0.1053,29.0
4dtp1ngnRAYruoplaPaZ1Z0FSILu_-GrB16eWyHi6s_xdmv-Z9mOQrjH-3d6hVvuAU_ygdEec_6nmQ,PLATINUM,mid,0,55,13,1.9,1,26,0.5091,-0.0238,3.102,30.27,7,23,0.218,0.727,BOTTOM,0.0,467,0.1124,0.3091,0.1091,0.4867,0.2537,0.873,9.382,0.0727,0.1273,31.31
4kfF3oxiCBgFGOsPg81p4NZfQ7E7wYlwo_VDtu1ZWUd1BYY8k2KjZnnttkHjXHGmhBfla2VOtVwS6w,MASTER,high,0,223,201,4.65,-1,1,0.4978,0.0455,3.45,26.18,7,30,0.202,0.919,UTILITY,0.188,531,0.094,0.3991,0.2242,0.574,0.1127,0.193,23.547,0.0583,0.1749,25.42
4wpCaIPGIST3pIO0WwqU0Up0vIA5R-4YncKowSss1ox-0IBqxrvU-J8njWxZOu5B1Y1xJCFqEaHGXA,EMERALD,mid,0,200,200,5.13,24,11,0.56,0.0,3.139,29.72,6,6,0.925,0.96,MIDDLE,0.095,368,0.104,0.175,0.075,0.4206,0.2282,0.715,27.385,0.135,0.09,30.32
58g6pPMFGoRMGn2zwZjsKSGte7wcNLODlHBOMcFXRAlMD1JMrCtkrZPn9ZMAF8w5jX-jrilT6gNdyQ,DIAMOND,high,0,203,203,8.46,11,1,0.5271,0.0,4.962,29.93,8,23,0.355,0.724,MIDDLE,0.266,464,0.0681,0.0542,0.0049,0.4587,0.2175,0.493,16.803,0.1232,0.0296,29.94
5QOk-6-SfD1DE_sHVJCAR_JEOn8eiCxy7CtOdksfaOpdigvgd0Ne9GBOSXemlgAoaH8abgrNh4Q_ow,MASTER,high,0,207,199,5.45,1,1,0.5024,0.0025,5.572,28.27,5,35,0.179,0.903,JUNGLE,0.005,90,0.0767,0.1014,0.0435,0.5425,0.2087,0.855,39.101,0.0773,0.1546,28.05
5ZI5QDcnaPS3BDiBmOWYsl9hnLrcLePfPzTB0Mvu1xdepfJOLjYSg25UZb8eDBjq3oFLjKRNr6D7FA,IRON,low,1,57,-49,3.35,-15,57,0.3684,0.1415,2.705,30.32,7,8,0.456,0.912,BOTTOM,0.018,373,0.0832,0.0526,0.0351,0.368,0.2003,0.263,2.14,0.0175,0.2456,28.09
5dGoTZjozOfnqaYOBKQhvpXsxx58aIeAuPjLcYfat5DwJCnXnS9RvXpVYtL9cl6rNfU7t5RJ_8vnGg,PLATINUM,mid,0,52,20,4.0,6,34,0.5577,-0.0069,3.24,30.61,3,23,0.192,0.365,MIDDLE,0.115,35,0.1029,0.1731,0.1154,0.4721,0.2382,0.923,18.038,0.0192,0.0962,31.0
5hWG2Xuj9cPpXyBvC2MwDv5CNqONacy1RLJSYZ0wAV771FU8wRvRf0TkSD0wKZkfBbQYUqw_2byM9Q,EMERALD,mid,0,75,11,5.0,-7,1,0.4533,0.1366,3.585,30.71,8,14,0.6,0.733,JUNGLE,0.253,1328,0.092,0.0533,0.04,0.4742,0.1565,0.693,20.053,0.0133,0.1467,29.99
5wf9_omnEvW8qsJ4l3LdMZHFcZkCh0GnqZjgoBYQwq3aj8mlT0fenyC3XWeKlXol06w_2zX43Dp-WA,GOLD,mid,0,45,45,3.75,7,24,0.5778,0.0,3.784,29.21,4,5,0.556,1.0,TOP,0.022,104,0.096,0.1333,0.0444,0.3946,0.2178,1.0,2.622,0.1111,0.2,27.89
5wxfiiT1OfCmG7AhNrPFscPZDI9d7aWN8N8YObOzC3hqmeUYH3kzlME0Ux-j8kK1YOXwBAXa4apukw,PLATINUM,mid,0,147,-23,2.72,3,2,0.5102,-0.0176,3.39,30.14,6,52,0.143,0.558,UTILITY,0.068,448,0.1035,0.2925,0.1497,0.4958,0.2039,0.374,11.469,0.1769,0.0544,30.3
5zO8_gCH9F5_6YuP97bkMLu1HDf9b3xfTlSPpo5IdKV99tmc45rzZ3IIi9tZ5zQnO7edvM74_AASvA,DIAMOND,high,0,42,32,2.33,8,18,0.5952,0.2216,4.003,29.67,5,20,0.381,0.976,TOP,0.024,307,0.1097,0.1429,0.0952,0.5168,0.3123,0.857,9.667,0.2143,0.0238,30.73
6-Sru8YXgjAi_Gw_agCmFCEzDQ8KxSri6sLlq_v6LceMskriRQDVJKs32C_gLkxFtDs6ndAftJT0hg,GRANDMASTER,high,0,37,19,4.62,21,14,0.7838,0.4484,6.361,28.29,3,16,0.432,0.595,JUNGLE,0.459,63,0.085,0.1892,0.1081,0.5516,0.2915,1.649,18.297,0.0811,0.0,27.68
